,TransactionID,CustomerID,TransactionType,Amount,Date,Branch,Region,CustomerSegment
0,TXN00001,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Purchase,7272.93,2024-11-08,Nasr City,Mansoura,VIP
1,TXN00002,bc8960a9-23b8-41e9-b924-56de3eb13b90,Purchase,1626.3,2024-09-02,Zamalek,Giza,Regular
2,TXN00003,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,Purchase,6982.86,2024-08-27,Nasr City,Mansoura,New
3,TXN00004,07a0ca6e-0822-48f3-ac03-1199972a8469,Deposit,9342.08,2024-08-30,New Cairo,Cairo,New
4,TXN00005,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Withdrawal,1107.03,2024-08-04,Nasr City,Alexandria,VIP
5,TXN00006,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Withdrawal,4006.49,2025-04-23,New Cairo,Cairo,New
6,TXN00007,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,Deposit,7638.13,2025-03-10,Zamalek,Cairo,VIP
7,TXN00008,01a9e71f-de8a-474b-8f36-d58b47378190,Withdrawal,9754.09,2025-05-15,Nasr City,Cairo,New
8,TXN00009,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Purchase,4342.06,2024-12-04,Nasr City,Assiut,VIP
9,TXN00010,f50bea63-371e-4d7b-a7cd-813047229389,Purchase,1679.83,2025-05-17,Nasr City,Mansoura,New
10,TXN00011,6142ea7d-17be-4111-9a2a-73ed562b0f79,Withdrawal,196.96,2024-08-31,Maadi,Assiut,VIP
11,TXN00012,9a8dca03-580d-4b71-98f5-64135be6128e,Purchase,2711.52,2024-11-04,Heliopolis,Assiut,Regular
12,TXN00013,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Withdrawal,5185.91,2025-02-18,Maadi,Mansoura,VIP
13,TXN00014,60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,Purchase,4228.81,2024-08-24,Heliopolis,Giza,Regular
14,TXN00015,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,Purchase,9594.05,2025-03-22,Maadi,Alexandria,New
15,TXN00016,93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,Withdrawal,2059.39,2024-10-07,Maadi,Assiut,VIP
16,TXN00017,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Purchase,5405.43,2024-10-21,Zamalek,Cairo,New
17,TXN00018,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Withdrawal,3487.99,2025-06-22,Nasr City,Alexandria,VIP
18,TXN00019,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,Withdrawal,9933.62,2024-11-09,Zamalek,Mansoura,New
19,TXN00020,5d65a441-d588-42de-a2bc-372f7412b293,Purchase,8568.05,2024-09-26,Nasr City,Giza,Regular
20,TXN00021,ab9099a4-35a2-40ae-9af3-05535ec42e08,Deposit,4156.0,2024-11-05,New Cairo,Mansoura,New
21,TXN00022,a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Purchase,7233.96,2024-08-21,Nasr City,Cairo,VIP
22,TXN00023,88bd6407-2bcf-4e01-a28d-efe39bf00273,Withdrawal,5611.83,2025-05-04,Zamalek,Giza,New
23,TXN00024,6123fdf7-7656-4f72-a9d4-beef3eabedcb,Purchase,2161.54,2024-11-06,Maadi,Giza,VIP
24,TXN00025,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Deposit,1067.58,2025-02-26,Maadi,Giza,Regular
25,TXN00026,d7c524a5-5304-417f-af42-e12f3838b326,Purchase,7965.15,2025-05-19,Heliopolis,Mansoura,New
26,TXN00027,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,Deposit,9841.88,2024-08-06,Nasr City,Alexandria,New
27,TXN00028,448aaa9e-66b2-4c5b-90c1-87fcce177b4e,Deposit,2610.83,2024-08-19,Heliopolis,Giza,Regular
